listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
447,0,Brooklyn,5,65.00,5
448,0,Bronx,2,99.00,4.82
449,1,Brooklyn,2,90.00,4.78
450,0,Manhattan,2,90.00,4.79
451,0,Bronx,2,58.00,4.33
452,1,Queens,2,89.00,4.67
453,1,Queens,2,121.00,4.8
454,1,Queens,1,85.00,4.78
455,1,Brooklyn,6,220.00,4.81
456,0,Queens,2,155.00,4.91
457,0,Queens,2,85.00,4.74
458,1,Brooklyn,3,200.00,4.94
459,1,Manhattan,6,225.00,4.67
460,0,Bronx,2,109.00,4.88
461,0,Brooklyn,1,85.00,4.48
462,0,Brooklyn,1,36.00,5
463,0,Queens,1,75.00,4.78
464,0,Queens,2,189.00,4.93
465,0,Queens,4,194.00,4.94
466,1,Queens,2,82.00,4.78
467,0,Manhattan,2,279.00,4.97
468,1,Queens,2,130.00,4.98
469,0,Bronx,2,55.00,4.83
470,0,Staten Island,2,102.00,4.72
471,0,Manhattan,2,189.00,5
472,1,Manhattan,2,110.00,4.82
473,0,Bronx,4,110.00,4.89
474,1,Queens,2,129.00,4.93
475,0,Staten Island,1,62.00,4.54
476,1,Brooklyn,4,85.00,4.86
477,0,Queens,2,65.00,4.74
478,0,Brooklyn,4,125.00,4.5
479,0,Queens,2,79.00,5
480,0,Queens,1,57.00,3
481,1,Brooklyn,2,120.00,5
482,1,Queens,2,99.00,5
483,0,Queens,1,63.00,4.8
484,1,Brooklyn,2,120.00,4.9
485,0,Bronx,2,75.00,4.29
486,0,Brooklyn,16,1000.00,5
487,1,Queens,4,95.00,4.53
488,0,Brooklyn,1,50.00,4.58
489,0,Queens,2,84.00,4.64
490,0,Manhattan,1,57.00,4.62
491,0,Queens,2,58.00,4.85
492,0,Queens,1,164.00,4.5
493,1,Brooklyn,2,133.00,4.86
494,0,Brooklyn,5,250.00,4.85
495,1,Manhattan,6,265.00,5
496,1,Brooklyn,2,90.00,4.86
497,1,Queens,1,64.00,5
498,1,Manhattan,4,499.00,4.9
499,1,Manhattan,2,125.00,4.86
500,0,Manhattan,6,439.00,4.62
501,0,Brooklyn,2,412.00,5
502,1,Bronx,2,80.00,4.79
503,0,Bronx,6,260.00,4.9
504,0,Brooklyn,2,56.00,4.57
505,0,Manhattan,1,280.00,5
506,1,Queens,1,65.00,4
507,1,Queens,2,130.00,4.9
508,0,Manhattan,5,69.00,4.75
509,0,Brooklyn,2,60.00,4.73
510,0,Brooklyn,2,446.00,5
511,0,Manhattan,3,185.00,3
512,1,Bronx,2,71.00,4.87
513,1,Queens,2,150.00,5
514,0,Queens,1,72.00,4.7
515,0,Queens,2,60.00,4.77
516,0,Manhattan,3,142.00,5
517,1,Manhattan,2,339.00,5
518,1,Brooklyn,2,60.00,4.66
519,0,Brooklyn,2,120.00,4.67
520,0,Manhattan,4,227.00,4
521,1,Brooklyn,1,89.00,4.93
522,1,Manhattan,4,425.00,4
523,1,Brooklyn,2,122.00,5
524,0,Manhattan,2,80.00,4.92
525,0,Brooklyn,16,4000.00,5
526,1,Brooklyn,2,91.00,4.78
527,1,Brooklyn,3,159.00,5
528,0,Brooklyn,2,37.00,4.57
529,1,Brooklyn,1,91.00,4.94
530,0,Manhattan,5,242.00,5
531,0,Bronx,2,35.00,3.67
532,1,Staten Island,4,113.00,4.63
533,1,Brooklyn,2,110.00,5
534,1,Queens,1,38.00,3
535,1,Brooklyn,1,66.00,5
