listing_id,host_is_superhost,neighbourhood_group_cleansed,accommodates,price,review_scores_rating
210,1,Manhattan,1,108.0,4.9
211,0,Brooklyn,4,110.0,5.0
212,0,Manhattan,1,220.0,4.67
213,1,Manhattan,1,60.0,5.0
214,1,Brooklyn,2,230.0,5.0
215,0,Brooklyn,3,120.0,4.22
216,0,Manhattan,4,145.0,4.5
217,0,Manhattan,3,134.0,5.0
218,0,Brooklyn,1,70.0,1.0
219,0,Manhattan,4,168.0,4.23
220,0,Manhattan,2,334.0,4.73
221,0,Brooklyn,1,25.0,5.0
222,1,Brooklyn,2,86.0,4.75
223,0,Manhattan,2,79.0,4.13
224,0,Manhattan,1,229.0,4.43
225,1,Manhattan,1,60.0,5.0
226,0,Manhattan,4,1500.0,4.94
227,1,Manhattan,1,49.0,5.0
228,0,Manhattan,2,220.0,4.86
229,0,Manhattan,1,65.0,4.71
230,0,Manhattan,7,736.0,4.43
231,0,Manhattan,2,417.0,2.0
232,0,Queens,2,85.0,4.68
233,1,Queens,2,169.0,4.91
234,1,Brooklyn,2,139.0,4.92
235,1,Queens,2,65.0,4.56
236,1,Bronx,2,53.0,4.82
237,0,Queens,2,88.0,5.0
238,1,Queens,5,350.0,4.76
239,1,Manhattan,6,859.0,5.0
240,1,Staten Island,2,65.0,4.86
241,0,Brooklyn,4,185.0,4.9
242,1,Manhattan,4,134.0,5.0
243,0,Staten Island,1,100.0,4.63
244,1,Brooklyn,2,89.0,4.82
245,0,Brooklyn,2,185.0,4.62
246,0,Manhattan,4,111.0,2.8
247,1,Brooklyn,4,131.0,4.8
248,1,Manhattan,2,786.0,4.97
249,0,Manhattan,5,295.0,5.0
250,0,Bronx,2,64.0,4.83
251,0,Brooklyn,2,110.0,4.75
252,1,Queens,1,79.0,5.0
253,0,Queens,2,94.0,4.8
254,0,Brooklyn,4,175.0,4.5
255,0,Manhattan,1,125.0,4.94
256,1,Queens,7,120.0,4.76
257,0,Bronx,1,60.0,5.0
258,1,Queens,2,78.0,4.95
259,0,Queens,4,197.0,4.92
260,0,Brooklyn,4,75.0,4.79
261,0,Queens,3,69.0,4.89
262,0,Manhattan,2,999.0,4.5
263,0,Manhattan,2,114.0,5.0
264,1,Queens,2,100.0,4.79
265,1,Brooklyn,2,246.0,4.95
266,1,Queens,3,113.0,4.93
267,1,Manhattan,12,869.0,4.85
268,0,Queens,3,100.0,4.75
269,1,Brooklyn,2,164.0,4.93
270,0,Manhattan,2,291.0,5.0
271,1,Queens,4,175.0,5.0
272,0,Queens,2,46.0,5.0
273,0,Queens,5,169.0,4.49
274,0,Queens,2,147.0,4.74
275,0,Queens,2,47.0,4.0
276,1,Brooklyn,2,192.0,4.96
277,1,Staten Island,2,69.0,5.0
278,1,Queens,2,104.0,4.61
279,0,Queens,3,88.0,4.57
280,0,Bronx,1,50.0,4.89
281,1,Brooklyn,2,199.0,4.85
282,1,Queens,5,135.0,4.88
283,0,Brooklyn,3,160.0,5.0
284,0,Queens,3,120.0,5.0
285,0,Staten Island,2,100.0,5.0
286,0,Manhattan,2,99.0,4.46
287,1,Brooklyn,4,155.0,5.0
288,0,Manhattan,2,240.0,5.0
289,0,Brooklyn,1,78.0,5.0
290,1,Brooklyn,5,245.0,5.0
291,1,Manhattan,2,125.0,4.92
292,1,Manhattan,1,93.0,4.95
293,0,Brooklyn,6,125.0,5.0
294,1,Manhattan,4,232.0,5.0
295,0,Brooklyn,2,200.0,5.0
296,1,Manhattan,2,171.0,4.73
297,0,Manhattan,3,162.0,4.68
298,1,Manhattan,1,88.0,5.0
299,0,Manhattan,2,58.0,4.75
300,1,Manhattan,2,195.0,4.97
301,0,Manhattan,1,115.0,4.92
302,1,Brooklyn,1,100.0,5.0
303,0,Manhattan,3,130.0,5.0
304,1,Brooklyn,4,178.0,4.95
305,1,Brooklyn,2,225.0,4.75
306,0,Brooklyn,2,65.0,4.31
307,0,Brooklyn,2,245.0,4.53
308,1,Manhattan,2,155.0,5.0
309,0,Manhattan,2,160.0,4.57
310,0,Brooklyn,2,268.0,4.93
311,1,Manhattan,2,271.0,5.0
312,0,Brooklyn,3,194.0,5.0
313,0,Queens,2,45.0,1.0
314,0,Manhattan,4,213.0,5.0
315,1,Brooklyn,2,168.0,4.87
316,0,Brooklyn,4,359.0,4.79
317,1,Brooklyn,6,200.0,4.96
318,0,Manhattan,2,126.0,4.84
